Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)(MeV-1 cm-2)
1.6169e+02	4.1733e+04	2.4501e+04
1.6356e+02	4.0838e+04	2.4185e+04
1.6546e+02	3.9962e+04	2.3870e+04
1.6738e+02	3.9105e+04	2.3557e+04
1.6932e+02	3.8260e+04	2.3245e+04
1.7129e+02	3.7434e+04	2.2935e+04
1.7327e+02	3.6625e+04	2.2625e+04
1.7528e+02	3.5834e+04	2.2317e+04
1.7732e+02	3.5060e+04	2.2010e+04
1.7937e+02	3.4302e+04	2.1705e+04
1.8145e+02	3.3561e+04	2.1402e+04
1.8356e+02	3.2836e+04	2.1102e+04
1.8569e+02	3.2127e+04	2.0803e+04
1.8784e+02	3.1433e+04	2.0506e+04
1.9002e+02	3.0754e+04	2.0210e+04
1.9222e+02	3.0089e+04	1.9918e+04
1.9445e+02	2.9439e+04	1.9632e+04
1.9671e+02	2.8803e+04	1.9346e+04
1.9899e+02	2.8181e+04	1.9060e+04
2.0130e+02	2.7572e+04	1.8769e+04
2.0363e+02	2.6976e+04	1.8480e+04
2.0599e+02	2.6393e+04	1.8194e+04
2.0838e+02	2.5822e+04	1.7911e+04
2.1080e+02	2.5263e+04	1.7631e+04
2.1325e+02	2.4715e+04	1.7354e+04
2.1572e+02	2.4180e+04	1.7079e+04
2.1822e+02	2.3656e+04	1.6811e+04
2.2075e+02	2.3143e+04	1.6549e+04
2.2331e+02	2.2642e+04	1.6290e+04
2.2590e+02	2.2153e+04	1.6033e+04
2.2852e+02	2.1676e+04	1.5778e+04
2.3117e+02	2.1210e+04	1.5527e+04
2.3386e+02	2.0754e+04	1.5278e+04
2.3657e+02	2.0307e+04	1.5032e+04
2.3931e+02	1.9870e+04	1.4788e+04
2.4209e+02	1.9443e+04	1.4548e+04
2.4490e+02	1.9024e+04	1.4309e+04
2.4774e+02	1.8615e+04	1.4073e+04
2.5061e+02	1.8215e+04	1.3837e+04
2.5352e+02	1.7823e+04	1.3600e+04
2.5646e+02	1.7439e+04	1.3367e+04
2.5943e+02	1.7064e+04	1.3137e+04
2.6244e+02	1.6697e+04	1.2911e+04
2.6549e+02	1.6338e+04	1.2687e+04
2.6856e+02	1.5986e+04	1.2467e+04
2.7168e+02	1.5642e+04	1.2252e+04
2.7483e+02	1.5306e+04	1.2042e+04
2.7802e+02	1.4976e+04	1.1835e+04
2.8124e+02	1.4653e+04	1.1631e+04
2.8451e+02	1.4338e+04	1.1429e+04
2.8781e+02	1.4030e+04	1.1230e+04
2.9114e+02	1.3729e+04	1.1034e+04
2.9452e+02	1.3434e+04	1.0841e+04
2.9794e+02	1.3146e+04	1.0650e+04
3.0139e+02	1.2863e+04	1.0459e+04
3.0489e+02	1.2587e+04	1.0269e+04
3.0842e+02	1.2317e+04	1.0082e+04
3.1200e+02	1.2053e+04	9.8983e+03
3.1562e+02	1.1794e+04	9.7172e+03
3.1928e+02	1.1541e+04	9.5390e+03
3.2298e+02	1.1293e+04	9.3642e+03
3.2673e+02	1.1051e+04	9.1944e+03
3.3052e+02	1.0813e+04	9.0278e+03
3.3435e+02	1.0581e+04	8.8636e+03
